,item_id,url,title,authors,lang,img,year,description,Tags
11,2402163,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,eng,https://images.gr-assets.com/books/1499277281m/5.jpg,2004,"Harry Potter's third year at Hogwarts is full of new dangers. A convicted murderer, Sirius Black, has broken out of Azkaban prison, and it seems he's after Harry. Now Hogwarts is being patrolled by the dementors, the Azkaban guards who are hunting Sirius. But Harry can't imagine that Sirius or, for that matter, the evil Lord Voldemort could be more frightening than the dementors themselves, who have the terrible power to fill anyone they come across with aching loneliness and despair. Meanwhile, life continues as usual at Hogwarts. A top-of-the-line broom takes Harry's success at Quidditch, the sport of the Wizarding world, to new heights. A cute fourth-year student catches his eye. And he becomes close with the new Defense of the Dark Arts teacher, who was a childhood friend of his father. Yet despite the relative safety of life at Hogwarts and the best efforts of the dementors, the threat of Sirius Black grows ever closer. But if Harry has learned anything from his education in wizardry, it is that things are often not what they seem. Tragic revelations, heartwarming surprises, and high-stakes magical adventures await the boy wizard in this funny and poignant third installment of the beloved series.
--scholastic.com",classic science fiction fantasy detective adventure british thriller england mystery childhood drama kids literature action teen children witches magic supernatural love werewolves coming of age friendship suspense wizards fun time travel
12,2977639,https://www.goodreads.com/book/show/10210.Jane_Eyre,Jane Eyre,Charlotte Bronte,eng,https://images.gr-assets.com/books/1327867269m/10210.jpg,0,"Orphaned into the household of her Aunt Reed at Gateshead and subject to the cruel regime at Lowood charity school, Jane Eyre nonetheless emerges unbroken in spirit and integrity. She takes up the post of governess at Thornfield, falls in love with Mr. Rochester, and discovers the impediment to their lawful marriage in a story that transcends melodrama to portray a woman's passionate search for a wider and richer life than Victorian society traditionally allowed.
With a heroine full of yearning, the dangerous secrets she encounters, and the choices she finally makes, Charlotte Bronte's innovative and enduring romantic novel continues to engage and provoke readers.",classic 19th century british england romance childhood literature school historical ghosts children magic dark love suspense creepy allegory
13,3462456,https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,eng,https://images.gr-assets.com/books/1411114164m/33.jpg,2005,"A fantastic starter set for new Tolkien fans or readers interested in rediscovering the magic of Middle-earth, this three-volume box set features paperback editions of the complete trilogy -- The Fellowship of the Ring, The Two Towers,and The Return of the King-- each with art from the New Line Productions feature film on the cover.
J.R.R. Tolkien's The Lord of the Ringstrilogy is a genuine masterpiece. The most widely read and influential fantasy epic of all time, it is also quite simply one of the most memorable and beloved tales ever told. Originally published in 1954, The Lord of the Ringsset the framework upon which all epic/quest fantasy since has been built. Through the urgings of the enigmatic wizard Gandalf, young hobbit Frodo Baggins embarks on an urgent, incredibly treacherous journey to destroy the One Ring. This ring -- created and then lost by the Dark Lord, Sauron, centuries earlier -- is a weapon of evil, one that Sauron desperately wants returned to him. With the power of the ring once again his own, the Dark Lord will unleash his wrath upon all of Middle-earth. The only way to prevent this horrible fate from becoming reality is to return the Ring to Mordor, the only place it can be destroyed. Unfortunately for our heroes, Mordor is also Sauron's lair. The Lord of the Ringstrilogy is essential reading not only for fans of fantasy but for lovers of classic literature as well...
Librarian's note: this edition shares an ISBN with the published by Houghton Mifflin Company",classic fantasy 19th century mystery childhood literature war children magic supernatural dystopia mythology suspense military wizards medieval nostalgia high fantasy allegory
14,1015554,https://www.goodreads.com/book/show/39988.Matilda,Matilda,Roald Dahl,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,0,"Matilda is a little girl who is far too good to be true. At age five-and-a-half she's knocking off double-digit multiplication problems and blitz-reading Dickens. Even more remarkably, her classmates love her even though she's a super-nerd and the teacher's pet. But everything is not perfect in Matilda's world. For starters she has two of the most idiotic, self-centered parents who ever lived. Then there's the large, busty nightmare of a school principal, Mrs. (""The"") Trunchbull, a former hammer-throwing champion who flings children at will and is approximately as sympathetic as a bulldozer. Fortunately for Matilda, she has the inner resources to deal with such annoyances: astonishing intelligence, saintly patience, and an innate predilection for revenge.
She warms up with some practical jokes aimed at her hapless parents, but the true test comes when she rallies in defense of her teacher, the sweet Miss Honey, against the diabolical Trunchbull. There is never any doubt that Matilda will carry the day. Even so, this wonderful story is far from predictable. Roald Dahl, while keeping the plot moving imaginatively, also has an unerring ear for emotional truth. The reader cares about Matilda because in addition to all her other gifts, she has real feelings.",classic 19th century british romance childhood literature children magic supernatural coming of age wizards funny comedy social commentary food sweet cool disability unique witty orphans
15,1813695,https://www.goodreads.com/book/show/9557.Sputnik_Sweetheart,Sputnik Sweetheart,Haruki Murakami,eng,https://images.gr-assets.com/books/1508082438m/9557.jpg,2002,"Alternate cover edition .
Sumire is in love with a woman seventeen years her senior. But whereas Miu is glamorous and successful, Sumire is an aspiring writer who dresses in an oversized second-hand coat and heavy boots like a character in a Kerouac novel.
Sumire spends hours on the phone talking to her best friend K about the big questions in life: what is sexual desire, and should she ever tell Miu how she feels for her? Meanwhile K wonders whether he should confess his own unrequited love for Sumire.
Then, a desperate Miu calls from a small Greek island: Sumire has mysteriously vanished...",classic magic realism romance literature japan love
16,1857065,https://www.goodreads.com/book/show/386372.Mort,"Mort (Death, #1; Discworld, #4)",Terry Pratchett,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,0,"Terry Pratchett's profoundly irreverent novels are consistent number one bestseller in England, where they have catapulted him into the highest echelons of parody next to Mark Twain, Kurt Vonnegut, Douglas Adams, and Carl Hiaasen.
In this Discworld installment, Death comes to Mort with an offer he can't refuse -- especially since being, well, dead isn't compulsory. As Death's apprentice, he'll have free board and lodging, use of the company horse, and he won't need time off for family funerals. The position is everything Mort thought he'd ever wanted, until he discovers that this perfect job can be a killer on his love life.",classic adventure british magic realism religion romance childhood animals literature ghosts magic mythology werewolves wizards funny satire time travel high fantasy death hilarious
17,1877624,https://www.goodreads.com/book/show/8695.The_Restaurant_at_the_End_of_the_Universe,"The Restaurant at the End of the Universe (Hitchhiker's Guide, #2)",Douglas Adams,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2009,"Facing annihilation at the hands of the warlike Vogons is a curious time to have a craving for tea. It could only happen to the cosmically displaced Arthur Dent and his curious comrades in arms as they hurtle across space powered by pure improbabilityband desperately in search of a place to eat.
Among Arthur's motley shipmates are Ford Prefect, a longtime friend and expert contributor to the Hitchhiker's Guide to the Galaxy; Zaphod Beeblebrox, the three-armed, two-headed ex-president of the galaxy; Tricia McMillan, a fellow Earth refugee who's gone native (her name is Trillian now); and Marvin, the moody android who suffers nothing and no one very gladly. Their destination? The ultimate hot spot for an evening of apocalyptic entertainment and fine dining, where the food (literally) speaks for itself.
Will they make it? The answer: hard to say. But bear in mind that the Hitchhiker's Guide deleted the term ""Future Perfect"" from its pages, since it was discovered not to be!
""What's such fun is how amusing the galaxy looks through Adams' sardonically silly eyes.""",classic science fiction adventure british magic realism england romance childhood literature magic dystopia science aliens funny satire hilarious space
18,2373750,https://www.goodreads.com/book/show/485894.The_Metamorphosis,The Metamorphosis,Franz Kafka,eng,https://images.gr-assets.com/books/1359061917m/485894.jpg,1972,"""As Gregor Samsa awoke one morning from uneasy dreams he found himself transformed in his bed into a gigantic insect. He was laying on his hard, as it were armor-plated, back and when he lifted his head a little he could see his domelike brown belly divided into stiff arched segments on top of which the bed quilt could hardly keep in position and was about to slide off completely. His numerous legs, which were pitifully thin compared to the rest of his bulk, waved helplessly before his eyes.""
With this startling, bizarre, yet surprisingly funny first opening, Kafka begins his masterpiece, The Metamorphosis. It is the story of a young man who, transformed overnight into a giant beetle-like insect, becomes an object of disgrace to his family, an outsider in his own home, a quintessentially alienated man. A harrowing -- though absurdly comic -- meditation on human feelings of inadequacy, guilt, and isolation, The Metamorphosishas taken its place as one of the most widely read and influential works of twentieth-century fiction. As W.H. Auden wrote, ""Kafka is important to us because his predicament is the predicament of modern man.""",classic fantasy adventure 19th century magic realism romance mystery philosophy animals literature biography magic supernatural dystopia aliens satire comedy life justice memory loss loneliness metaphysics midlife crisis
19,2956680,https://www.goodreads.com/book/show/11297.Norwegian_Wood,Norwegian Wood,Haruki Murakami,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2000,"Toru, a quiet and preternaturally serious young college student in Tokyo, is devoted to Naoko, a beautiful and introspective young woman, but their mutual passion is marked by the tragic death of their best friend years before. Toru begins to adapt to campus life and the loneliness and isolation he faces there, but Naoko finds the pressures and responsibilities of life unbearable. As she retreats further into her own world, Toru finds himself reaching out to others and drawn to a fiercely independent and sexually liberated young woman.
A poignant story of one college student's romantic coming-of-age, Norwegian Woodtakes us to that distant place of a young man's first, hopeless, and heroic love.",classic fantasy magic realism romance mystery literature japan ghosts love suspense 1960s adultery emotional
20,3078186,https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,en-US,https://images.gr-assets.com/books/1327656754m/11.jpg,1995,"Seconds before the Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of The Hitchhiker's Guide to the Galaxy who, for the last fifteen years, has been posing as an out-of-work actor.
Together this dynamic pair begin a journey through space aided by quotes from The Hitchhiker's Guide (""A towel is about the most massively useful thing an interstellar hitchhiker can have"") and a galaxy-full of fellow travelers: Zaphod Beeblebrox--the two-headed, three-armed ex-hippie and totally out-to-lunch president of the galaxy; Trillian, Zaphod's girlfriend (formally Tricia McMillan), whom Arthur tried to pick up at a cocktail party once upon a time zone; Marvin, a paranoid, brilliant, and chronically depressed robot; Veet Voojagig, a former graduate student who is obsessed with the disappearance of all the ballpoint pens he bought over the years.",classic science fiction fantasy adventure british magic realism england romance childhood literature magic dystopia science mars aliens funny satire life hilarious space light hollywood homeless witty
21,6191072,https://www.goodreads.com/book/show/4929.Kafka_on_the_Shore,Kafka on the Shore,Haruki Murakami,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,0,"Kafka on the Shoreis powered by two remarkable characters: a teenage boy, Kafka Tamura, who runs away from home either to escape a gruesome oedipal prophecy or to search for his long-missing mother and sister; and an aging simpleton called Nakata, who never recovered from a wartime affliction and now is drawn toward Kafka for reasons that, like the most basic activities of daily life, he cannot fathom.
As their paths converge, and the reasons for that convergence become clear, Haruki Murakami enfolds readers in a world where cats talk, fish fall from the sky, and spirits slip out of their bodies to make love or commit murder. Kafka on the Shoredisplays one of the world's great storytellers at the peak of his powers.",classic adventure magic realism romance literature absurd action adaptation aging japan supernatural satire adolescence
22,15570126,https://www.goodreads.com/book/show/391724.The_Black_Cat,The Black Cat,Edgar Allan Poe,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,0,"""The Black Cat"" is one of Edgar Allan Poe's most memorable stories. The tale centers around a black cat and the subsequent deterioration of a man. The story is often linked with ""The Tell-Tale Heart"" because of the profound psychological elements these two works share.",classic romance animals literature horror magic suspense creepy
23,18976038,https://www.goodreads.com/book/show/24013720-wind-pinball,Wind/Pinball: Two Novels,Haruki Murakami,eng,https://images.gr-assets.com/books/1439382798m/24013720.jpg,2015,"The debut short novels--nearly thirty years out of print-- by the internationally acclaimed writer, newly retranslated and in one English-language volume for the first time, with a new introduction by the author.
These first major works of fiction by Haruki Murakami center on two young men--an unnamed narrator and his friend and former roommate, the Rat. Powerful, at times surreal, stories of loneliness, obsession, and eroticism, these novellas bear all the hallmarks of Murakami's later books, giving us a fascinating insight into a great writer's beginnings, and are remarkable works of fiction in their own right. Here too is an exclusive essay by Murakami in which he explores and explains his decision to become a writer. Prequels to the much-beloved classics A Wild Sheep Chase and Dance Dance Dance, these early works are essential reading for Murakami completists and contemporary fiction lovers alike.",classic romance literature japan
24,448935,https://www.goodreads.com/book/show/125553.Welcome_to_Dead_House,"Welcome to Dead House (Goosebumps, #1)",R.L. Stine,en-US,https://images.gr-assets.com/books/1328867798m/125553.jpg,0,"Amanda and Josh think the old house they have just moved into is weird. Spooky. Possibly haunted. And the town of Dark Falls is pretty strange, too. -- But their parents don't believe them. You'll get used to it, they say. Go out and make some new friends. -- So Amanda and Josh do. But these creepy new friends are not exactly what their parents had in mind.
Because they want to be friends...
...Forever.",classic fantasy thriller mystery childhood horror teen scary ghosts children supernatural dark suspense creepy nostalgia halloween zombies
25,2666907,https://www.goodreads.com/book/show/475339.Madeline,Madeline,Ludwig Bemelmans,en-GB,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1989,"Madeline is one of the best-loved characters in children's literature. Set in picturesque Paris, this tale of a brave little girl's trip to the hospital was a Caldecott Honor Book in 1940 and has as much appeal today as it did then. The combination of a spirited heroine, timelessly appealing art, cheerful humor, and rhythmic text makes Madeline a perennial favorite with children of all ages.",classic fantasy humor childhood teen children
26,736076,https://www.goodreads.com/book/show/6149.Beloved,Beloved,Toni Morrison,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2004,"Staring unflinchingly into the abyss of slavery, this spellbinding novel transforms history into a story as powerful as Exodus and as intimate as a lullaby.
Sethe was born a slave and escaped to Ohio, but eighteen years later she is still not free. She has too many memories of Sweet Home, the beautiful farm where so many hideous things happened. Her new home is haunted by the ghost of her baby, who died nameless and whose tombstone is engraved with a single word: Beloved.
Filled with bitter poetry and suspense as taut as a rope, Belovedis a towering achievement by Nobel Prize laureate Toni Morrison.",classic magic realism england history romance childhood historical erotic horror scary ghosts magic dark love suspense creepy psychology 1970s 1980s thought-provoking biographical death political social commentary race racism poverty
27,810135,https://www.goodreads.com/book/show/9777.The_God_of_Small_Things,The God of Small Things,Arundhati Roy,eng,https://images.gr-assets.com/books/1436217001m/9777.jpg,1997,"""They all crossed into forbidden territory. They all tampered with the laws that lay down who should be loved and how. And how much.""
The year is 1969. In the state of Kerala, on the southernmost tip of India, fraternal twins Esthappen and Rahel fashion a childhood for themselves in the shade of the wreck that is their family. Their lonely, lovely mother, Ammu, (who loves by night the man her children love by day), fled an abusive marriage to live with their blind grandmother, Mammachi (who plays Handel on her violin), their beloved uncle Chacko (Rhodes scholar, pickle baron, radical Marxist, bottom-pincher), and their enemy, Baby Kochamma (ex-nun and incumbent grandaunt). When Chacko's English ex-wife brings their daughter for a Christmas visit, the twins learn that things can change in a day, that lives can twist into new, ugly shapes, even cease forever, beside their river...",classic adventure 19th century childhood 18th century animals historical adaptation addiction adoption aging biography children business apocalypse aliens adolescence afterlife alcoholism biographical art true story alternate history alternate universe awesome beautiful alternate reality biblical bullying adultery child abuse censorship archaeology assassins assassination atheism abortion beer betrayal birds character study christmas bizarre cheesy camp capitalism brainwashing broadway catastrophe cheating circus brothers alien invasion aids cancer chicago cannibalism aviation autism argentina ballet blindness boarding school brazil cars cheerleading chess china chocolate
28,847007,https://www.goodreads.com/book/show/89724.We_Have_Always_Lived_in_the_Castle,We Have Always Lived in the Castle,Shirley Jackson,eng,https://images.gr-assets.com/books/1415357189m/89724.jpg,2006,"Merricat Blackwood lives on the family estate with her sister Constance and her Uncle Julian. Not long ago there were seven Blackwoods--until a fatal dose of arsenic found its way into the sugar bowl one terrible night. Acquitted of the murders, Constance has returned home, where Merricat protects her from the curiosity and hostility of the villagers. Their days pass in happy isolation until cousin Charles appears. Only Merricat can see the danger, and she must act swiftly to keep Constance from his grasp.",classic mystery historical horror scary dark suspense creepy 1950s
29,6278354,https://www.goodreads.com/book/show/6101138-wolf-hall,"Wolf Hall (Thomas Cromwell, #1)",Hilary Mantel,eng,https://images.gr-assets.com/books/1336576165m/6101138.jpg,2010,"England in the 1520s is a heartbeat from disaster. If the king dies without a male heir, the country could be destroyed by civil war. Henry VIII wants to annul his marriage of twenty years and marry Anne Boleyn. The pope and most of Europe opposes him. Into this impasse steps Thomas Cromwell: a wholly original man, a charmer and a bully, both idealist and opportunist, astute in reading people, and implacable in his ambition. But Henry is volatile: one day tender, one day murderous. Cromwell helps him break the opposition, but what will be the price of his triumph?",classic british religion england history drama historical action horror dark france medieval women politics great london espionage sisters factual
30,64823,https://www.goodreads.com/book/show/29580.Second_Foundation,Second Foundation (Foundation #3),Isaac Asimov,eng,https://images.gr-assets.com/books/1417900922m/29580.jpg,2004,"So far the Foundation was safe. But there was a hidden Second Foundation to protect the first. The Mule has yet to find it, but he was getting closer all the time. The men of the Foundation sought it, too, to escape from Mule's mind control. Only Arkady, a 14 year-old girl seemed to have the answer, or did she...?",classic science fiction detective history mystery dystopia science aliens 1950s space nature mathematics educational humanity
31,153313,https://www.goodreads.com/book/show/5470.1984,1984,"George Orwell, George Orwell",eng,https://images.gr-assets.com/books/1348990566m/5470.jpg,1950,"The year 1984 has come and gone, but George Orwell's prophetic, nightmarish vision in 1949 of the world we were becoming is timelier than ever. 1984is still the great modern classic of ""negative utopia"" -a startlingly original and haunting novel that creates an imaginary world that is completely convincing, from the first sentence to the last four words. No one can deny the novel's hold on the imaginations of whole generations, or the power of its admonitions -a power that seems to grow, not lessen, with the passage of time.",classic russia science fiction british religion england history 18th century animals historical adaptation aging war scary 1920s 1930s dystopia dark suspense science post apocalyptic medieval creepy existentialism politics satire thought-provoking college allegory communism political social commentary disturbing philosophical adultery censorship moving controversial unique violence futuristic homeless twist capitalism god catastrophe
32,1703483,https://www.goodreads.com/book/show/29581.Foundation_and_Empire,Foundation and Empire (Foundation #2),Isaac Asimov,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2004,"Led by its founding father, the great psychohistorian Hari Seldon, and taking advantage of its superior science and technology, the Foundation has survived the greed and barbarism of its neighboring warrior-planets. Yet now it must face the Empire--still the mightiest force in the Galaxy even in its death throes. When an ambitious general determined to restore the Empire's glory turns the vast Imperial fleet toward the Foundation, the only hope for the small planet of scholars and scientists lies in the prophecies of Hari Seldon. But not even Hari Seldon could have predicted the birth of the extraordinary creature called The Mule--a mutant intelligence with a power greater than a dozen battle fleets... a power that can turn the strongest-willed human into an obedient slave.",classic science fiction detective history mystery dystopia science aliens 1950s space nature mathematics educational humanity
